Altium Designer Pick and Place Locations
E:\Saniok\Lime Micro\Lime PCBs\LimeSDR-X3_1v0\Altium designer design files\Project Outputs for LimeSDR-X3_1v0\Pick Place\Pick Place for LimeSDR-X3_1v0.csv

========================================================================================================================
File Design Information:

Date:       19-12-22
Time:       13:01
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R270","300R, 1%","BottomLayer","RES0402","130.0750","34.5000","270",""
"R373","10R, 1%","BottomLayer","RES0402","141.0184","83.1498","225",""
"R372","39R, 1%","BottomLayer","RES0402","137.5536","80.8164","225",""
"R369","10R, 1%","BottomLayer","RES0402","142.1498","82.0184","225",""
"R368","39R, 1%","BottomLayer","RES0402","139.8164","78.5536","225",""
"R367","120R, 1%","BottomLayer","RES0402","130.8850","80.1150","45",""
"R363","10R, 1%","BottomLayer","RES0402","142.1498","69.9816","135",""
"R362","39R, 1%","BottomLayer","RES0402","139.8164","73.4464","135",""
"R359","10R, 1%","BottomLayer","RES0402","141.0185","68.8502","135",""
"R358","39R, 1%","BottomLayer","RES0402","137.5536","71.1836","135",""
"R357","120R, 1%","BottomLayer","RES0402","130.8850","71.8850","135",""
"R353","0R","TopLayer","RES0402","134.1750","87.1000","180",""
"R352","0R","TopLayer","RES0402","136.2750","87.1000","360",""
"R345","10R, 1%","BottomLayer","RES0402","141.0099","102.8913","225",""
"R344","39R, 1%","BottomLayer","RES0402","137.5451","100.5578","225",""
"FR121","600R, 2A","TopLayer","RES0805","135.2250","89.4500","90",""
"C679","4.7pF, 50V","BottomLayer","CAP0402","139.5689","82.4074","315",""
"C678","22pF, 50V","BottomLayer","CAP0402","139.7810","80.7810","135",""
"C677","4.7pF, 50V","BottomLayer","CAP0402","141.4074","80.5689","315",""
"C672","4.7pF, 50V","BottomLayer","CAP0402","141.4074","71.4311","225",""
"C671","22pF, 50V","BottomLayer","CAP0402","139.7810","71.2190","45",""
"C670","4.7pF, 50V","BottomLayer","CAP0402","139.5689","69.5927","225",""
"C653","22uF, 10V","TopLayer","CAP0603","132.7250","99.4000","270",""
"C649","4.7pF, 50V","BottomLayer","CAP0402","139.5604","102.1488","315",""
"C648","22pF, 50V","BottomLayer","CAP0402","139.7725","100.5225","135",""
"C647","4.7pF, 50V","BottomLayer","CAP0402","141.3988","100.3104","315",""
"C642","4.7pF, 50V","BottomLayer","CAP0402","141.4074","91.1811","225",""
"R54","39R, 1%","BottomLayer","RES0402","37.4500","43.3750","270",""
"R53","39R, 1%","BottomLayer","RES0402","36.3250","43.3750","270",""
"R52","39R, 1%","TopLayer","RES0402","36.2500","53.8500","180",""
"R50","39R, 1%","TopLayer","RES0402","36.3000","52.1250","180",""
"R42","39R, 1%","BottomLayer","RES0402","39.6750","43.3750","270",""
"R40","39R, 1%","BottomLayer","RES0402","38.5500","43.3750","270",""
"R39","39R, 1%","BottomLayer","RES0402","35.2250","43.3750","270",""
"R36","39R, 1%","BottomLayer","RES0402","34.1250","43.3750","270",""
"R418","0R","BottomLayer","RES0402","210.3750","81.5500","270",""
"R241","0R","TopLayer","RES0402","160.4750","41.0250","360",""
"R543","100k, 1%","TopLayer","RES0402","143.4750","23.4000","90",""
"R532","100k, 1%","TopLayer","RES0402","183.7250","26.0750","90",""
"R531","100k, 1%","TopLayer","RES0402","181.5261","36.6795","90",""
"R530","100k, 1%","TopLayer","RES0402","219.2500","36.8250","180",""
