Altium Designer Pick and Place Locations
d:\LimePCBs\LimeSDR-X3\LimeSDR-X3_1v1\LimeSDR-X3\hardware\1v1\Project Outputs for LimeSDR-X3_1v1\Pick Place\Pick Place for LimeSDR-X3_1v1.csv

========================================================================================================================
File Design Information:

Date:       04-07-23
Time:       11:04
Revision:   deec7ae3f83022d734028920c05eed4081d06f7a
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R6","0R","BottomLayer","RES0402","85.2250","55.0500","270",""
"R586","0R","TopLayer","RES0402","217.7750","74.7500","180",""
"R584","0R","TopLayer","RES0402","219.8750","74.7500","180",""
"R582","1k, 1%","TopLayer","RES0402","223.0250","78.6750","360",""
"R561","40.2k, 1%","BottomLayer","RES0402","74.3000","24.8250","90",""
"R560","40.2k, 1%","BottomLayer","RES0402","110.7000","39.8000","270",""
"R132","0R","BottomLayer","RES0402","82.4852","83.4539","180",""
"R117","0R","BottomLayer","RES0402","71.2591","83.4539","180",""
"R115","0R","BottomLayer","RES0402","71.2591","84.5539","180",""
"C285","470nF, 16V","BottomLayer","CAP0805_FEEDTHROUGH","77.3000","90.4000","270",""
"R136","0R","BottomLayer","RES0402","86.2955","81.6893","270",""
"R134","4.7k, 1%","BottomLayer","RES0402","82.9525","88.1515","90",""
"R133","0R","BottomLayer","RES0402","78.7255","85.4515","180",""
"R126","39R, 1%","TopLayer","RES0402","86.0250","82.9500","180",""
"R119","4.7k, 1%","BottomLayer","RES0402","71.7250","88.1500","90",""
"R118","0R","BottomLayer","RES0402","67.4980","85.4500","180",""
"R111","39R, 1%","TopLayer","RES0402","74.7975","82.9485","180",""
"IC21","QPA4563A","TopLayer","QPA4563ATR7_SOT363-6","78.1250","90.3750","90",""
"IC20","F2258NLGK8","TopLayer","F2258NLGK8__QFN3x3_16","82.2000","87.6000","360",""
"IC19","QPA4563A","TopLayer","QPA4563ATR7_SOT363-6","78.8750","84.0000","360",""
"IC16","QPA4563A","TopLayer","QPA4563ATR7_SOT363-6","66.8939","90.3771","90",""
"IC15","F2258NLGK8","TopLayer","F2258NLGK8__QFN3x3_16","70.9725","87.5985","0",""
"C302","100pF, 50V","BottomLayer","CAP0402","86.8000","83.3000","360",""
"C301","10nF, 50V","BottomLayer","CAP0402","84.1554","88.8294","90",""
"C294","68pF, 25V","TopLayer","CAP0402","79.1250","87.7000","135",""
"C293","68pF, 25V","TopLayer","CAP0402","84.3250","85.0036","45",""
"C283","1uF, 10V","TopLayer","CAP0402","72.5500","92.0750","90",""
"C282","1uF, 10V","TopLayer","CAP0402","84.4750","82.4500","90",""
"C277","2.2pF, 50V","BottomLayer","CAP0402","71.2250","86.4500","180",""
"C273","10nF, 50V","BottomLayer","CAP0402","66.6250","86.4740","180",""
"C272","68pF, 25V","TopLayer","CAP0402","66.2475","94.4051","90",""
"C265","1nF, 50V","TopLayer","CAP0402","72.2475","82.4485","90",""
"C262","470nF, 16V","BottomLayer","CAP0805_FEEDTHROUGH","66.1250","90.4000","270",""
"R277","300R, 1%","BottomLayer","RES0402","130.0750","34.5000","270",""
"R380","10R, 1%","BottomLayer","RES0402","141.0184","83.1498","225",""
"R379","39R, 1%","BottomLayer","RES0402","137.5536","80.8164","225",""
"R376","10R, 1%","BottomLayer","RES0402","142.1498","82.0184","225",""
"R375","39R, 1%","BottomLayer","RES0402","139.8164","78.5536","225",""
"R374","120R, 1%","BottomLayer","RES0402","130.8850","80.1150","45",""
"R370","10R, 1%","BottomLayer","RES0402","142.1498","69.9816","135",""
"R369","39R, 1%","BottomLayer","RES0402","139.8164","73.4464","135",""
"R366","10R, 1%","BottomLayer","RES0402","141.0185","68.8502","135",""
"R365","39R, 1%","BottomLayer","RES0402","137.5536","71.1836","135",""
"R364","120R, 1%","BottomLayer","RES0402","130.8850","71.8850","135",""
"R360","0R","TopLayer","RES0402","134.1750","87.1000","180",""
"R359","0R","TopLayer","RES0402","136.2750","87.1000","360",""
"R352","10R, 1%","BottomLayer","RES0402","141.0099","102.8913","225",""
"R351","39R, 1%","BottomLayer","RES0402","137.5451","100.5578","225",""
"FR121","600R, 2A","TopLayer","RES0805","135.2250","89.4500","90",""
