Field=#~Integer~#~50|Field=Assembly Info~String~Assembly Info~177|Field=Comment~String~Comment~177|Field=Description~String~Description~177|Field=Designator~String~Designator~177|Field=Footprint~String~Footprint~177|Field=Quantity~Integer~Quantity~177|Field=Manufacturer Part Number~String~Manufacturer Part Number~177|Field=PartType~String~PartType~177|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~177|Field=Supplier 1~String~Supplier 1~177|Field=Supplier Part Number 1~String~Supplier Part Number 1~177|Field=Manufacturer~String~Manufacturer~177|Field=Part Description~String~Part Description~177|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~LimeSDR-X3_1v1.PrjPcb|ReportField=ProjectFullPath~d:\LimePCBs\LimeSDR-X3\LimeSDR-X3_1v1\LimeSDR-X3\hardware\1v1\LimeSDR-X3_1v1.PrjPcb|ReportField=Title~Bill of Materials For Project [LimeSDR-X3_1v1.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~2063|ReportField=ReportTime~11:30:12|ReportField=ReportDate~2023-06-23|ReportField=ReportDateTime~2023-06-23 11:30:12|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~Surrey Tech Centre|ReportField=Address2~Guildford GU2 7YG|ReportField=Address3~Surrey|ReportField=Address4~United Kingdom|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~2023-06-23|ReportField=CurrentTime~11:27:20|ReportField=Date~|ReportField=DocumentFullPathAndName~d:\LimePCBs\LimeSDR-X3\LimeSDR-X3_1v1\LimeSDR-X3\hardware\1v1\Schematics\01_BlockDiagram.SchDoc|ReportField=DocumentName~01_BlockDiagram.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~2023-06-22|ReportField=Organization~Lime Microsystems|ReportField=ProjectName~LimeSDR-X3_1v1.PrjPcb|ReportField=Revision~v1.1|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~11|ReportField=Time~|ReportField=Title~Block diagram|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=IsUserConfigurable~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~LimeSDR-X3_1v1.PrjPcb|ReportField=DataSourceFullPath~d:\LimePCBs\LimeSDR-X3\LimeSDR-X3_1v1\LimeSDR-X3\hardware\1v1\LimeSDR-X3_1v1.PrjPcb
1|NF|LR44R Battery||BATT1||1||LR44R Battery|LR44R|DigiKey|490-LR44R-ND|Murata|Coin, 11.6mm Alkaline Manganese Dioxide 1.5 V Battery Non-Rechargeable (Primary)
2|NF|LR44R Battery Holder||BATTH1|LR44R_BATTERY_HOLDER|1||LR44R Battery Holder|2996|Digi-Key|36-2996-ND|Keystone Electronics|Battery Retainer Coin, 11.6mm 1 Cell SMD (SMT) Tab
3||10pF, 25V||C1, C3, C5, C783, C790, C793|CAP0402|6||10pF, 25V|04023A100JAT2A|Farnell|2332478RL|AVX|10pF ±5% 25V C0G, NP0 Ceramic Capacitor -55°C ~ 125°C Surface Mount, MLCC 0402 (1005 Metric) 0.039" L x 0.020" W (1.00mm x 0.50mm)
4|[NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], NF, NF, NF, NF, [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue]|1uF, 10V|[NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], CAP CER 1UF 10V X5R 0402, [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], CAP CER 1UF 10V X5R 0402, CAP CER 1UF 10V X5R 0402, [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue]|C2, C4, C6, C259, C260, C261, C275, C282, C283, C284, C298, C317, C322, C344, C349, C500, C512, C524, C525, C535, C538, C542, C545, C553, C556, C559, C562, C567, C574, C701, C702, C716, C720, C722, C727, C730, C748, C758, C771, C772, C784, C788, C808, C819, C820, C834, C859, C860, C861, C886, C887, C888, C905, C939|CAP0402|54||1uF, 10V|C1005X5R1E105K050BC|Digi-Key|445-9066-1-ND|TDK|1µF ±10% 10V X5R Ceramic Capacitor -55°C ~ 85°C Surface Mount, MLCC 0402 (1005 Metric) 0.039" L x 0.020" W (1.00mm x 0.50mm)
5|[NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], NF, [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], NF, [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], NF, [NoValue], [NoValue], NF, [NoValue], [NoValue], NF, NF, [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], NF, [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue]|100nF, 16V||C7, C9, C11, C14, C17, C20, C21, C24, C25, C26, C43, C46, C47, C50, C55, C57, C60, C62, C65, C68, C69, C263, C276, C280, C286, C299, C303, C307, C312, C318, C333, C337, C345, C359, C360, C361, C362, C363, C364, C365, C366, C367, C368, C369, C370, C371, C379, C380, C383, C384, C385, C386, C387, C388, C391, C392, C393, C394, C395, C396, C399, C400, C401, C402, C403, C404, C407, C408, C409, C410, C411, C412, C415, C416, C417, C418, C419, C420, C423, C424, C425, C426, C427, C428, C431, C432, C433, C434, C435, C436, C439, C440, C441, C442, C443, C444, C449, C450, C451, C452, C453, C454, C455, C456, C457, C458, C459, C460, C461, C464, C465, C466, C467, C468, C472, C473, C474, C475, C477, C478, C479, C480, C481, C482, C483, C484, C485, C486, C488, C489, C490, C491, C492, C493, C494, C495, C496, C497, C498, C499, C501, C502, C503, C508, C509, C510, C515, C516, C517, C518, C526, C527, C528, C529, C536, C539, C540, C543, C546, C547, C554, C557, C560, C563, C568, C569, C570, C571, C572, C575, C576, C577, C578, C579, C580, C581, C582, C583, C588, C589, C590, C595, C596, C598, C599, C603, C604, C605, C606, C610, C611, C612, C613, C618, C619, C620, C625, C626, C628, C629, C633, C634, C635, C636, C640, C641, C642, C644, C648, C649, C650, C655, C656, C658, C659, C663, C664, C665, C666, C670, C671, C672, C673, C678, C679, C680, C685, C686, C688, C689, C693, C694, C695, C696, C700, C703, C705, C711, C712, C713, C714, C715, C717, C719, C723, C724, C725, C726, C728, C731, C735, C737, C738, C739, C742, C743, C744, C745, C746, C747, C750, C755, C759, C763, C764, C767, C768, C776, C785, C789, C791, C792, C794, C795, C796, C797, C806, C810, C813, C821, C822, C823, C824, C825, C826, C827, C828, C829, C830, C831, C832, C835, C836, C838, C840, C841, C842, C844, C845, C846, C871, C872, C873, C899, C914, C940, C947, MN25, MN26, MN31, MN32, MN93, MN96|CAP0402|313||100nF, 16V|GRM155R71C104KA88D|Mouser|81-GRM155R71C104KA88|Murata Electronics|0.10µF ±10% 16V X7R Ceramic Capacitor -55°C ~ 125°C Surface Mount, MLCC 0402 (1005 Metric) 0.039" L x 0.020" W (1.00mm x 0.50mm)
6|[NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], NF, [NoValue], [NoValue], NF, [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], NF, NF, NF, NF, [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue]|100pF, 50V||C8, C10, C12, C13, C15, C16, C18, C19, C22, C23, C27, C28, C29, C30, C32, C35, C36, C38, C41, C42, C44, C45, C48, C49, C51, C52, C53, C54, C56, C58, C59, C61, C63, C64, C66, C67, C70, C71, C74, C75, C76, C77, C80, C81, C268, C269, C279, C291, C292, C302, C308, C310, C311, C315, C316, C320, C321, C323, C324, C325, C327, C328, C330, C331, C335, C338, C339, C342, C343, C347, C348, C350, C351, C352, C354, C355, C357, C358, C514, C519, C520, C521, C522, C523, C718, C732, C741, C751, C752, C753, C756, C757, C765, C766, C769, C770, C773, C774, C775, C786, C811, C814, C815, C816, C817, C837, C843, MN105, MN106, MN111, MN112|CAP0402|111||100pF, 50V|CC0402JRNPO9BN101|Digi-Key|311-1024-1-ND|Yageo|100pF ±5% 50V C0G, NP0 Ceramic Capacitor -55°C ~ 125°C Surface Mount, MLCC 0402 (1005 Metric) 0.039" L x 0.020" W (1.00mm x 0.50mm)
7||68pF, 25V||C31, C37, C270, C271, C272, C293, C294, C295, C803, C862, C864, C866|CAP0402|12||68pF, 25V|CBR04C680F3GAC|Digi-Key|399-11255-1-ND|Kemet|68pF ±1% 25V Ceramic Capacitor C0G, NP0 0402 (1005 Metric)
8||10nF, 50V||C33, C34, C39, C40, C78, C79, C273, C278, C296, C301, C313, C314, C326, C329, C340, C341, C353, C356, C729|CAP0402|19||10nF, 50V|GRM155R71H103KA88D|Digi-Key|490-4516-2-ND|Murata Electronics North America|10000pF ±10% 50V Ceramic Capacitor X7R 0402 (1005 Metric)
9||470pF, 50V||C72, C73|CAP0402|2|C1005C0G1H471J050BA|470pF, 50V|C1005C0G1H471J050BA|Digi-Key|445-2656-6-ND|TDK Corporation|470pF ±5% 50V Ceramic Capacitor C0G, NP0 0402 (1005 Metric)
10||1uF, 6.3V||C82, C84, C85, C86, C87, C88, C89, C91, C93, C95, C96, C97, C98, C99, C100, C101, C102, C103, C104, C105, C106, C107, C108, C109, C110, C111, C112, C113, C114, C115, C116, C117, C120, C122, C124, C126, C128, C129, C130, C131, C132, C133, C134, C135, C136, C137, C138, C139, C140, C141, C143, C144, C145, C146, C147, C148, C150, C152, C154, C155, C156, C157, C158, C159, C160, C161, C162, C163, C164, C165, C166, C167, C168, C169, C170, C171, C172, C173, C174, C175, C176, C179, C181, C183, C185, C187, C188, C189, C190, C191, C192, C193, C194, C195, C196, C197, C198, C199, C200, C202, C203, C204, C205, C206, C207, C209, C211, C213, C214, C215, C216, C217, C218, C219, C220, C221, C222, C223, C224, C225, C226, C227, C228, C229, C230, C231, C232, C233, C234, C235, C238, C240, C242, C244, C246, C247, C248, C249, C250, C251, C252, C253, C254, C255, C256, C257, C258|CAP0201|147||1uF, 6.3V|JMK063ABJ105MP-F|Digi-Key|587-5864-2-ND|TDK Corporation|1µF ±20% 6.3V X5R Ceramic Capacitor -55°C ~ 85°C Surface Mount, MLCC 0201 (0603 Metric) 0.024" L x 0.012" W (0.60mm x 0.30mm)
